r_tipo,nombre,cantidad_sugerida,unidad,peso_bruto,peso_neto,energia,proteina,lipidos,hco,fibra,acido_folico,calcio,hierro,indice_glicemico,carga_glicemica,azucar,sodio
3,Macarrón crudo,20,g,20,20,68,1.9,0.1,14.6,0.4,5,5.2,0.4,,,,0.4
3,Macarrón integral cocido,0.3,taza,47,47,58,2.5,0.3,12.4,1.3,2.3,7,0.5,,,,1.3
3,Malanga,70,g,70,60,67,0.9,0.1,15.9,2.5,13.2,25.9,0.3,,,,6.6
3,Marias cerealé fresa,1.5,pieza,15,15,66,1.1,2.1,10.7,,,,,,,,63.8
3,Ñame,100,g,100,86,66,1.9,0.1,15.1,0.4,19.8,11.2,0.4,,,,7.7
3,"Palanqueta de amaranto con
pasas",0.3,pieza,13,13,52,1,,11.2,,,,,,,,0
3,Palitos de pan,3,pieza,18,18,74,2.2,1.7,12.3,0.5,5.4,3.6,0.8,,,,117.9
3,Pan ácimo,0.3,pieza,20,20,57,1.3,1,11.1,0.5,2,16.2,0.5,,,,78.9
3,Pan árabe integral,0.3,pieza,21,21,56,2.1,0.6,1.6,1.6,7.3,3.3,0.6,,,,112.2
3,Pan bagel dulce,0.3,pieza,23,23,64,2.3,0.4,12.9,0.5,5,4.3,0.9,,,,75.6
3,Pan bagel salado,0.3,pieza,23,23,64,2.5,0.4,12.5,0.5,5.3,17.5,0.8,,,,125.1
3,pan con salvado,0.75,rebanada,27,27,67,2.4,0.9,12.9,1.1,6.8,20.3,0.8,,,,131.3
3,Pan matza,0.5,pieza,14,14,56,1.4,0.2,119,0.5,2,2,0.5,,,,0.5
3,Papa de cambray,5,pieza,115,94,72,1.5,0.1,16.5,0.5,12.3,12.3,2.5,,,,5.7
3,Papilla de arroz deshidratada,15,g,15,15,59,1.1,0.7,11.6,0.1,3.6,127.5,7.1,,,,4.8
3,Pasta cruda para sopa,20,g,20,20,68,1.9,0.1,14.6,0.4,5,5.2,0.4,,,,0.4
3,Pasta de codito,0.5,taza,20,20,74,2.5,0.2,15,0.1,5,5.4,0.3,,,,0.4
3,Pasta de estrellitas,0.25,taza,19,19,69,2.3,0.2,14.1,0.1,4.7,5.1,0.2,,,,0.4
3,Pasta de lagrimitas,0.25,taza,19,19,69,2.3,0.2,14.1,0.1,4.7,5.1,0.2,,,,0.4
3,Pasta de letras,0.25,taza,19,19,69,2.3,0.2,14.1,0.1,4.7,5.1,0.2,,,,0.4
3,Pasta de moño,0.5,taza,20,20,74,2.5,0.2,15,0.1,5,5.4,0.3,,,,0.4
3,Pasta de municiones,0.25,taza,19,19,69,2.3,0.2,14.1,0.1,4.7,5.1,0.2,,,,0.4
3,Pasta de trigo cocida,0.5,taza,60,60,78,3.2,1.1,14,0,11.6,6.3,0.7,,,,49.5
3,Pasta de trigo fresca,25,g,25,25,72,2.8,0.6,13.7,0,44,3.8,0.8,,,,6.5
3,Pasta fresca,25,g,25,25,72,2.8,0.6,13.7,0,44,3.8,0.8,,,,6.5
3,Pasta integral cocida,0.3,taza,46,46,57,2.5,0.3,12.3,2.1,2.3,6.9,0.5,,,,1.3
3,Puré de camote,0.25,taza,60,60,60,1.2,0.1,13.8,1,0.1,18,0.8,,,,44.6
3,Quaker instant 0% azúcar,0.5,sobre,18,18,60,1.5,0.7,11.8,,,,,,,,85.1
3,Salvado de trigo,6,cucharada,29,29,64,2.4,0.2,24.4,24.4,1.1,12.5,0.8,,,,2.3
3,Semolina,20,g,20,20,72,2.5,0.2,14.6,0.8,14.3,3.3,0.9,,,,0.2
3,Tallarin crudo,20,g,20,20,74,2.5,0.2,15,0.1,5,5.4,0.3,,,,0.4
3,Arroz precocido crudo,20,g,20,20,75,1.6,0.2,16.1,0.4,1.6,11,0.1,,,0.1,0.6
