r_tipo,alimentos,cantidad_sugerida,unidad,peso_bruto,peso_neto,energia,proteina,lipidos,hco,fibra,acido_folico,calcio,hierro,sodio,azucar,iice_glicemico,carga_glicemica
4,Churritos barcel,0.25,paquete,15,15,83,0.8,5.5,7.7,0.7,0,0,0,191.7,,,
4,Concha pan dulce,0.3,pieza,21,21,87,2.3,3.7,11.1,0,0,7.9,1,82.4,,,
4,Costra para pay casera,90,g,90,90,109,1.4,7.2,9.8,0.4,0,0,0,0,,,
4,Dalmata,0.3,pieza,19,19,83,0.8,4,10.9,0.2,0,0,0,47.9,,,
4,Doraditas,0.5,pieza,18,18,98,0.9,5,12.3,0,0,0,0,139.3,,,
4,Doritos incognita,0.3,paquete,19,19,90,15.4,4.5,10.8,1,0,0,0,196,,,
4,Doritos nachos,0.3,paquete,20,20,95,1.6,5,11,1,0,0,0,152,,,
4,Doritos pizzerolas,0.3,paquete,19,19,93,1.4,4.9,10.8,1,0,0,0,213.5,,,
4,Eclair de chocolate,0.5,pieza,29,29,98,1.3,4.6,12.8,0,0,5.5,0.4,32.5,,,
4,Fritos,20,g,20,20,110,1.6,7.2,9.6,1.6,0,0,0,144,,,
4,"Frituras de maíz con chile
y limón",0.3,bolsa,19,19,84,0.8,5.3,8.3,0,0,0,1.4,218.2,,64,12
4,"Frituras de maíz con limón
y sal",0.3,bolsa,19,19,84,0.8,5.3,8.3,0,0,0,1.4,218.2,,64,12
4,Galleta de avena con pasas,2,pieza,25,25,110,1,5,15,0,0,0,0,75,,,
4,Galleta de avena y manzana,1,pieza,24,24,108,0.9,3.5,17.6,0,0,23,0.3,106.5,,,
4,Galleta integral de trigo,4,pieza,28,28,113,2.4,3.9,19.1,1.6,0,6.4,0.1,153.2,,,
4,Galleta Oreo,2,pieza,18,18,86,0.9,3.8,12.2,0.4,0,0,0,84.8,,,
4,Galletas con chispas de chocolate bajas en grasa,2,pieza,20,20,90,1.2,33,14.6,0.8,0,0,0,0,,,
4,Galletas con chispas de chocolate con mantequilla casera,1.5,pieza,24,24,117,1.4,6.8,14,,0,0,0,0,,,
4,Gansito,25,g,25,25,99,1.1,3.9,14.9,0.6,0,0,0,55.5,,,
4,Granola estándar,3,cucharada,21,21,97,2.3,4,14.1,1.1,0,0,0,8.2,,,
4,"Granola Thins Nature
Valley",1,pieza,17,17,80,1,4,11,1,0,0,0,75,,,
4,"Habaneras Bran
Aráanos Ciruela",35,g,35,35,113,2.7,4.3,16,3,0,0,0,171.5,,,
4,Pan de jenjibre,1,rebanada,28,28,100,1.1,4.6,13.8,,0,0,0,0,,,
4,Pan de muesli,1,rebanada,28,28,94,2.5,3.6,13.2,1.4,0,0,0,124.9,,54,15.1
4,Panqué con mantequilla,0.5,rebanada,20,20,84,1.3,4.3,9.8,,0,10.4,3,71.4,,,
4,Panquecito cubierto de chocolate,0.5,pieza,24,24,86,1.1,3,14.2,0,0,31,0.2,80.5,,,
4,Panquecito cubierto de vainilla,0.5,pieza,33,33,119,1.1,3.8,20.6,0,0,16.6,0,74,,,
4,Panquecito de vainilla,0.5,pieza,33,33,119,1.1,3.8,20.6,0,0,16.6,0.1,74,,,
4,Papa sal,20,g,20,20,107,1,6.6,11,1,0,0,0,116,,,
4,Papas sabritas,20,g,195,195,102,0.8,6.4,10.4,0.8,0,0,0,112,,,
4,Pasta de hojaldre,20,g,20,20,108,1.1,8.2,7.6,0.3,0,3.9,0,1.2,,,
4,Pasta hojaldrada,20,g,20,20,108,1.1,8.2,7.6,0.3,0,3.9,0,1.2,,,
4,Pasta quebrada,20,g,28,28,108,1.1,8.2,7.6,0.3,0,3.9,0,1.2,,,
4,Pastel de chocolate,1,rebanada,28,28,104,1.5,4.2,14.8,0.4,0,16.8,0.5,88.2,,,
4,"Harina de algodón baja
en grado",4,cucharada,32,32,106,15.9,0.4,11.5,0,0,0,0,57.6,,,
4,"Harina de girasol
parcialmente desgrasada",4,cucharada,32,32,105,15.4,0.5,11.5,1.7,0,0,0,0,,,
4,"Harina de sésamo baja en
grasa",4,cucharada,32,32,107,16,0.6,11.4,0,0,0,0,6.4,,,
4,Kinder delice,0.5,paquete,21,21,95,1,5.9,9,0.5,0,0,0,20,,,
4,Macarrón con queso,0.25,taza,50,50,108,4.2,5.6,10.1,0,0,90.5,0.5,271.5,,,
4,Magdalena,0.75,pieza,20,20,92,1.6,4.2,8.9,0,0,0,0,85,,,
4,Maíz palomero con mantequilla horno de microhondas,2.5,taza,38,38,115,3.5,2.6,25.4,6.1,0,20,0.2,383.8,,,
4,"Marías Gamesa Cereales
Chocoplátano",20,g,20,20,120,1.4,2.7,12.6,1.7,0,0,0,84,,,
4,"Marías Gamesa Cereales
Fresa",30,g,30,30,121,2.1,4.1,18.9,2.5,0,0,0,126,,,
4,Muffin integral con pasas,0.3,pieza,37,37,118,2.5,3.2,19.9,2.5,0,42.4,1.8,200.6,,,
4,Nature valley,0.5,barra,18,18,70,1.5,2,12.5,1.5,0,0,0,32.5,,,
4,"Nature valley barra
granola con manzana",1,pieza,21,21,90,1.5,3.2,13,1.2,0,0,0,65,,,
4,Pop tarts,0.3,pieza,18,18,70,1,1.7,12.9,0.3,0,0,0,73.5,,,
4,Prispas,0.75,paquete,19,19,91,0.8,3.4,14.3,0.4,0,0,0,131.3,,,
4,Rice krispies treats,1,barra,22,22,90,1,2.5,17,0,0,0,0,105,,,
4,Runner sabor hot sauce,0.3,bolsa,20,20,110,1.2,6.9,10.9,0.5,0,0,0,210,,,
4,Sabritas ligeras,20,g,20,20,97,1.2,4.6,12.8,0.8,0,0,0,80,,,
4,Sabritas ligeras citricas,20,g,20,20,93,1.2,4.4,12.2,0.8,0,0,0,148,,,
4,"Sáwich Quaker
chocolate",30,g,30,30,124,2.7,5.2,16.6,2.8,0,0,0,96,,,
4,Senzo,2,pieza,22,22,106,1.1,5.1,13.8,0.5,0,0,0,75.4,,,
4,"Snack mix nabisco 100
Kcal",1,paquete,22,22,99,2,3,16,1,0,0,0,210.1,,,
4,Tamal de carne,0.2,pieza,40,40,102,3.1,6,8.8,0.1,0,24.4,0.6,70.4,,,
4,Tamal de elote,0.2,pieza,40,40,86,1.1,4.3,9.9,0.4,0,43.2,0.3,234.3,,,
